Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
0,9.62504061069344e-07,2.17238977856269e-06
0.0005,1.02028737629517e-06,2.56169160279936e-06
0.001,1.07813118839467e-06,2.95098704578592e-06
0.0015,1.13602980278928e-06,3.34023578873442e-06
0.002,1.19397751216517e-06,3.72939751542768e-06
0.0025,1.25196859778778e-06,4.11843192214109e-06
0.003,1.30999733081959e-06,4.50729872756445e-06
0.0035,1.36805797364053e-06,4.89595768271925e-06
0.004,1.42614478117043e-06,5.28436858086658e-06
0.0045,1.48425200219288e-06,5.67249126740136e-06
0.005,1.54237388068007e-06,6.060285649728e-06
0.0055,1.60050465711784e-06,6.4477117071134e-06
0.006,1.65863856983057e-06,6.83472950051236e-06
0.0065,1.71676985630534e-06,7.22129918236145e-06
0.007,1.77489275451477e-06,7.60738100633653e-06
0.0075,1.83300150423815e-06,7.99293533706995e-06
0.008,1.89109034838031e-06,8.37792265982311e-06
0.0085,1.94915353428776e-06,8.76230359011036e-06
0.009,2.00718531506172e-06,9.14603888327031e-06
0.0095,2.06517995086752e-06,9.5290894439808e-06
0.01,2.12313171024006e-06,9.91141633571387e-06
0.0105,2.1810348713848e-06,1.02929807901272e-05
0.011,2.23888372347411e-06,1.06737442163888e-05
0.0115,2.29667256793839e-06,1.10536682104308e-05
0.012,2.3543957197518e-06,1.14327145641308e-05
0.0125,2.41204750871214e-06,1.18108452744151e-05
0.013,2.46962228071454e-06,1.21880225522824e-05
0.0135,2.52711439901857e-06,1.25642088317442e-05
0.014,2.58451824550845e-06,1.29393667786788e-05
0.0145,2.64182822194591e-06,1.33134592995944e-05
0.015,2.69903875121537e-06,1.36864495503006e-05
0.0155,2.75614427856099e-06,1.40583009444831e-05
0.016,2.81313927281521e-06,1.44289771621791e-05
0.0165,2.87001822761844e-06,1.4798442158151e-05
0.017,2.92677566262952e-06,1.5166660170154e-05
0.0175,2.98340612472654e-06,1.55335957270955e-05
0.018,3.0399041891978e-06,1.58992136570835e-05
0.0185,3.0962644609225e-06,1.62634790953596e-05
0.019,3.15248157554093e-06,1.66263574921148e-05
0.0195,3.20855020061389e-06,1.69878146201849e-05
0.02,3.2644650367709e-06,1.73478165826216e-05
0.0205,3.32022081884719e-06,1.77063298201369e-05
0.021,3.37581231700893e-06,1.8063321118419e-05
0.0215,3.43123433786659e-06,1.84187576153133e-05
0.022,3.48648172557613e-06,1.87726068078701e-05
0.0225,3.54154936292778e-06,1.91248365592513e-05
0.023,3.59643217242216e-06,1.9475415105498e-05
0.0235,3.65112511733351e-06,1.98243110621519e-05
0.024,3.70562320275985e-06,2.01714934307314e-05
0.0245,3.75992147665964e-06,2.05169316050585e-05
0.025,3.81401503087501e-06,2.0860595377435e-05
0.0255,3.86789900214099e-06,2.12024549446657e-05
0.026,3.92156857308068e-06,2.15424809139279e-05
0.0265,3.975018973186e-06,2.1880644308485e-05
0.027,4.02824547978382e-06,2.22169165732437e-05
0.0275,4.08124341898707e-06,2.25512695801539e-05
0.028,4.13400816663069e-06,2.288367563345e-05
0.0285,4.18653514919209e-06,2.32141074747347e-05
0.029,4.23881984469567e-06,2.35425382879029e-05
0.0295,4.29085778360133e-06,2.38689417039066e-05
0.03,4.34264454967649e-06,2.41932918053607e-05
0.0305,4.39417578085131e-06,2.45155631309884e-05
0.031,4.44544717005687e-06,2.48357306799063e-05
0.0315,4.49645446604582e-06,2.51537699157497e-05
0.032,4.54719347419535e-06,2.54696567706371e-05
0.0325,4.59766005729193e-06,2.57833676489743e-05
0.033,4.64785013629754e-06,2.60948794310989e-05
0.0335,4.69775969109718e-06,2.64041694767646e-05
0.034,4.74738476122701e-06,2.6711215628468e-05
0.0345,4.79672144658317e-06,2.7015996214616e-05
0.035,4.84576590811071e-06,2.73184900525376e-05
0.0355,4.89451436847242e-06,2.76186764513392e-05
0.036,4.94296311269724e-06,2.79165352146058e-05
0.0365,4.99110848880789e-06,2.82120466429486e-05
0.037,5.03894690842739e-06,2.8505191536401e-05
0.0375,5.08647484736412e-06,2.87959511966629e-05
0.038,5.13368884617503e-06,2.90843074291968e-05
0.0385,5.18058551070679e-06,2.93702425451738e-05
0.039,5.22716151261445e-06,2.9653739363274e-05
0.0395,5.27341358985748e-06,2.99347812113393e-05
0.04,5.31933854717308e-06,3.02133519278811e-05
0.0405,5.36493325652654e-06,3.04894358634446e-05
0.041,5.41019465753879e-06,3.07630178818273e-05
0.0415,5.45511975789091e-06,3.10340833611569e-05
0.042,5.49970563370584e-06,3.13026181948248e-05
0.0425,5.54394942990709e-06,3.15686087922795e-05
0.043,5.58784836055452e-06,3.18320420796781e-05
0.0435,5.63139970915716e-06,3.20929055003982e-05
0.044,5.67460082896311e-06,3.23511870154092e-05
0.0445,5.71744914322634e-06,3.26068751035055e-05
0.045,5.75994214545064e-06,3.28599587614009e-05
0.0455,5.80207739961045e-06,3.31104275036853e-05
0.046,5.84385254034879e-06,3.3358271362645e-05
0.0465,5.88526527315231e-06,3.36034808879464e-05
0.047,5.92631337450349e-06,3.38460471461852e-05
0.0475,5.96699469201018e-06,3.4085961720301e-05
0.048,6.00730714451282e-06,3.43232167088588e-05
0.0485,6.04724872216929e-06,3.45578047251982e-05
0.049,6.08681748651808e-06,3.4789718896451e-05
0.0495,6.12601157051982e-06,3.50189528624283e-05
0.05,6.16482917857766e-06,3.52455007743776e-05
0.0505,6.20326858653681e-06,3.54693572936106e-05
0.051,6.24132814166372e-06,3.56905175900022e-05
0.0515,6.27900626260506e-06,3.59089773403616e-05
0.052,6.31630143932709e-06,3.6124732726676e-05
0.0525,6.35321223303551e-06,3.63377804342273e-05
0.053,6.38973727607636e-06,3.65481176495838e-05
0.0535,6.42587527181817e-06,3.67557420584658e-05
0.054,6.46162499451562e-06,3.69606518434883e-05
0.0545,6.49698528915527e-06,3.71628456817804e-05
0.055,6.53195507128338e-06,3.73623227424834e-05
0.0555,6.56653332681633e-06,3.75590826841281e-05
0.056,6.6007191118339e-06,3.77531256518935e-05
0.0565,6.63451155235565e-06,3.79444522747468e-05
0.057,6.66790984410076e-06,3.81330636624677e-05
0.0575,6.70091325223181e-06,3.83189614025565e-05
0.058,6.73352111108259e-06,3.85021475570277e-05
0.0585,6.76573282387066e-06,3.86826246590902e-05
0.059,6.79754786239477e-06,3.88603957097153e-05
0.0595,6.8289657667178e-06,3.90354641740929e-05
0.06,6.85998614483544e-06,3.92078339779778e-05
0.0605,6.89060867233108e-06,3.9377509503927e-05
0.061,6.92083309201731e-06,3.95444955874292e-05
0.0615,6.95065921356433e-06,3.97087975129293e-05
0.062,6.9800869131157e-06,3.98704210097469e-05
0.0625,7.00911613289172e-06,4.00293722478943e-05
0.063,7.03774688078087e-06,4.01856578337919e-05
0.0635,7.06597922991962e-06,4.03392848058852e-05
0.064,7.09381331826094e-06,4.04902606301651e-05
0.0645,7.12124934813196e-06,4.06385931955915e-05
0.065,7.14828758578106e-06,4.07842908094232e-05
0.0655,7.17492836091468e-06,4.0927362192456e-05
0.066,7.20117206622428e-06,4.10678164741682e-05
0.0665,7.22701915690359e-06,4.12056631877778e-05
0.067,7.2524701501565e-06,4.134091226521e-05
0.0675,7.27752562469578e-06,4.14735740319781e-05
0.068,7.30218622023289e-06,4.16036592019786e-05
0.0685,7.32645263695903e-06,4.17311788722018e-05
0.069,7.35032563501759e-06,4.1856144517359e-05
0.0695,7.37380603396824e-06,4.19785679844285e-05
0.07,7.3968947122427e-06,4.20984614871211e-05
0.0705,7.41959260659236e-06,4.22158376002669e-05
0.071,7.44190071152798e-06,4.2330709254125e-05
0.0715,7.46382007875141e-06,4.24430897286173e-05
0.072,7.48535181657975e-06,4.25529926474886e-05
0.0725,7.5064970893618e-06,4.2660431972394e-05
0.073,7.52725711688715e-06,4.27654219969156e-05
0.0735,7.54763317378799e-06,4.28679773405108e-05
0.074,7.56762658893375e-06,4.29681129423918e-05
0.0745,7.58723874481876e-06,4.30658440553403e-05
0.075,7.60647107694311e-06,4.31611862394577e-05
0.0755,7.62532507318676e-06,4.32541553558515e-05
0.076,7.64380227317721e-06,4.33447675602612e-05
0.0765,7.66190426765081e-06,4.34330392966226e-05
0.077,7.67963269780791e-06,4.35189872905744e-05
0.0775,7.69698925466195e-06,4.36026285429055e-05
0.078,7.71397567838276e-06,4.36839803229476e-05
0.0785,7.73059375763409e-06,4.37630601619126e-05
0.079,7.74684532890554e-06,4.3839885846177e-05
0.0795,7.76273227583892e-06,4.39144754105158e-05
0.08,7.77825652854924e-06,4.39868471312881e-05
0.0805,7.79342006294026e-06,4.40570195195755e-05
0.081,7.80822490001482e-06,4.41250113142774e-05
0.0815,7.82267310517991e-06,4.41908414751644e-05
0.082,7.83676678754676e-06,4.42545291758942e-05
0.0825,7.85050809922595e-06,4.43160937969911e-05
0.083,7.86389923461792e-06,4.43755549187936e-05
0.0835,7.87694242969893e-06,4.44329323143724e-05
0.084,7.88963996130291e-06,4.44882459424219e-05
