Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
20,-1.16417777941237e-05,2.98816627875951e-05
20.0005,-1.12824927133912e-05,3.02446573586035e-05
20.001,-1.09236436748849e-05,3.06084186673015e-05
20.0015,-1.05652681674716e-05,3.09729154541478e-05
20.002,-1.02074035739247e-05,3.1338116360218e-05
20.0025,-9.85008716164598e-06,3.17039899347921e-05
20.003,-9.49335607343975e-06,3.20705046429695e-05
20.0035,-9.13724731834444e-06,3.24376288733075e-05
20.004,-8.78179776252662e-06,3.28053309454771e-05
20.0045,-8.42704412024173e-06,3.31735791179341e-05
20.005,-8.07302294486631e-06,3.35423415955979e-05
20.0055,-7.71977062000631e-06,3.39115865375363e-05
20.006,-7.36732335068593e-06,3.42812820646485e-05
20.0065,-7.01571715462135e-06,3.4651396267343e-05
20.007,-6.66498785358345e-06,3.50218972132056e-05
20.0075,-6.31517106485372e-06,3.53927529546507e-05
20.008,-5.9663021927769e-06,3.57639315365516e-05
20.0085,-5.61841642041416e-06,3.61354010038447e-05
20.009,-5.27154870129997e-06,3.65071294091012e-05
20.0095,-4.92573375130592e-06,3.68790848200609e-05
20.01,-4.5810060406143e-06,3.72512353271239e-05
20.0105,-4.23739978580406e-06,3.76235490507937e-05
20.011,-3.89494894205164e-06,3.79959941490667e-05
20.0115,-3.553687195449e-06,3.83685388247644e-05
20.012,-3.21364795544084e-06,3.87411513328026e-05
20.0125,-2.87486434738328e-06,3.91137999873937e-05
20.013,-2.5373692052258e-06,3.94864531691792e-05
20.0135,-2.20119506431856e-06,3.98590793322869e-05
20.014,-1.86637415434691e-06,4.02316470113118e-05
20.0145,-1.53293839239497e-06,4.06041248282158e-05
20.015,-1.2009193761402e-06,4.09764814991448e-05
20.0155,-8.70348377180473e-07,4.13486858411604e-05
20.016,-5.41256334495458e-07,4.17207067788832e-05
20.0165,-2.13673848043825e-07,4.20925133510469e-05
20.017,1.12368827502351e-07,4.24640747169594e-05
20.0175,4.36841788884579e-07,4.28353601628701e-05
20.018,7.59715490245109e-07,4.32063391082406e-05
20.0185,1.08096074897317e-06,4.35769811119166e-05
20.019,1.40054875140921e-06,4.39472558781987e-05
20.0195,1.71845105840637e-06,4.43171332628108e-05
20.02,2.03463961074821e-06,4.4686583278762e-05
20.0205,2.34908673442214e-06,4.50555761021027e-05
20.021,2.66176514574777e-06,4.542408207757e-05
20.0215,2.97264795635956e-06,4.5792071724123e-05
20.022,3.28170867804321e-06,4.61595157403641e-05
20.0225,3.58892122742505e-06,4.65263850098449e-05
20.023,3.89425993051409e-06,4.68926506062546e-05
20.0235,4.19769952709605e-06,4.72582837984886e-05
20.024,4.49921517497908e-06,4.76232560555948e-05
20.0245,4.7987824540908e-06,4.7987539051596e-05
20.025,5.09637737042649e-06,4.83511046701864e-05
20.0255,5.3919763598483e-06,4.87139250092999e-05
20.026,5.68555629173552e-06,4.90759723855478e-05
20.0265,5.97709447248585e-06,4.94372193385253e-05
20.027,6.26656864886802e-06,4.9797638634983e-05
20.0275,6.55395701122571e-06,5.01572032728635e-05
20.028,6.83923819653323e-06,5.05158864851983e-05
20.0285,7.12239129130306e-06,5.08736617438659e-05
20.029,7.40339583434552e-06,5.12305027632069e-05
20.0295,7.68223181938097e-06,5.15863835034951e-05
20.03,7.95887969750469e-06,5.19412781742641e-05
20.0305,8.23332037950505e-06,5.22951612374857e-05
20.031,8.50553523803511e-06,5.26480074106017e-05
20.0315,8.77550610963832e-06,5.29997916694054e-05
20.032,9.04321529662881e-06,5.33504892507744e-05
20.0325,9.30864556882688e-06,5.37000756552528e-05
20.033,9.57178016515034e-06,5.4048526649482e-05
20.0335,9.83260279506252e-06,5.43958182684823e-05
20.034,1.00910976398777e-05,5.47419268177817e-05
20.0345,1.03472493539247e-05,5.50868288753956e-05
20.035,1.06010430655701e-05,5.54305012936557e-05
20.0355,1.0852464378101e-05,5.57729212008885e-05
20.036,1.11014993704695e-05,5.61140660029464e-05
20.0365,1.13481345978994e-05,5.64539133845893e-05
20.037,1.15923570923561e-05,5.67924413107205e-05
20.0375,1.18341543628808e-05,5.71296280274765e-05
20.038,1.20735143957911e-05,5.74654520631726e-05
20.0385,1.23104256547474e-05,5.77998922291066e-05
20.039,1.25448770806878e-05,5.81329276202204e-05
20.0395,1.27768580916322e-05,5.8464537615623e-05
20.04,1.3006358582356e-05,5.87947018789748e-05
20.0405,1.32333689239355e-05,5.91234003587352e-05
20.041,1.34578799631655e-05,5.94506132882759e-05
20.0415,1.36798830218512e-05,5.97763211858589e-05
20.042,1.38993698959746e-05,6.01005048544826e-05
20.0425,1.41163328547375e-05,6.04231453815953e-05
20.043,1.43307646394826e-05,6.07442241386788e-05
20.0435,1.45426584624937e-05,6.10637227807023e-05
20.044,1.47520080056764e-05,6.13816232454497e-05
20.0445,1.4958807419122e-05,6.16979077527206e-05
20.045,1.51630513195548e-05,6.20125588034086e-05
20.0455,1.53647347886645e-05,6.23255591784598e-05
20.046,1.55638533713263e-05,6.26368919377132e-05
20.0465,1.57604030737099e-05,6.29465404186285e-05
20.047,1.59543803612778e-05,6.32544882349028e-05
20.0475,1.61457821566764e-05,6.35607192749833e-05
20.048,1.633460583752e-05,6.3865217700478e-05
20.0485,1.65208492340703e-05,6.41679679444705e-05
20.049,1.67045106268116e-05,6.44689547097444e-05
