Time_s,BCL_Envelope_Smoothed,BCC_Envelope_Smoothed
0,5.93501040673398e-07,1.32127428514063e-06
0.0005,6.74178408303813e-07,1.80164808618844e-06
0.001,7.54300042863521e-07,2.27874519459072e-06
0.0015,8.33867733983426e-07,2.7525755233885e-06
0.002,9.12883271294447e-07,3.22314898562287e-06
0.0025,9.91348444427487e-07,3.69047549433492e-06
0.003,1.06926504301346e-06,4.15456496256567e-06
0.0035,1.14663485668327e-06,4.61542730335624e-06
0.004,1.22345967506784e-06,5.0730724297477e-06
0.0045,1.29974128779807e-06,5.52751025478111e-06
0.005,1.37548148450488e-06,5.97875069149755e-06
0.0055,1.45068205481916e-06,6.42680365293807e-06
0.006,1.52534478837184e-06,6.87167905214379e-06
0.0065,1.59947147479383e-06,7.31338680215574e-06
0.007,1.67306390371602e-06,7.751936816015e-06
0.0075,1.74612386476934e-06,8.18733900676266e-06
0.008,1.8186531475847e-06,8.61960328743978e-06
0.0085,1.890653541793e-06,9.04873957108746e-06
0.009,1.96212683702515e-06,9.47475777074673e-06
0.0095,2.03307482291207e-06,9.89766779945868e-06
0.01,2.10349928908466e-06,1.03174795702644e-05
0.0105,2.17340202517384e-06,1.07342029962049e-05
0.011,2.24278482081052e-06,1.11478479903214e-05
0.0115,2.3116494656256e-06,1.15584244656548e-05
0.012,2.37999774925e-06,1.19659423352463e-05
0.0125,2.44783146131462e-06,1.23704115121369e-05
0.013,2.51515239145038e-06,1.27718419093677e-05
0.0135,2.58196232928818e-06,1.31702434399798e-05
0.014,2.64826306445895e-06,1.35656260170142e-05
0.0145,2.71405638659358e-06,1.3957999553512e-05
0.015,2.77934408532299e-06,1.43473739625143e-05
0.0155,2.84412795027808e-06,1.47337591570622e-05
0.016,2.90840977108977e-06,1.51171650501967e-05
0.0165,2.97219133738897e-06,1.54976015549589e-05
0.017,3.03547443880659e-06,1.58750785843899e-05
0.0175,3.09826086497354e-06,1.62496060515308e-05
0.018,3.16055240552073e-06,1.66211938694225e-05
0.0185,3.22235085007906e-06,1.69898519511063e-05
0.019,3.28365798827945e-06,1.73555902096232e-05
0.0195,3.34447560975282e-06,1.77184185580142e-05
0.02,3.40480550413006e-06,1.80783469093204e-05
0.0205,3.46464946104209e-06,1.84353851765829e-05
0.021,3.52400927011983e-06,1.87895432728428e-05
0.0215,3.58288672099417e-06,1.91408311111411e-05
0.022,3.64128360329603e-06,1.94892586045189e-05
0.0225,3.69920170665633e-06,1.98348356660174e-05
0.023,3.75664282070596e-06,2.01775722086775e-05
0.0235,3.81360873507584e-06,2.05174781455402e-05
0.024,3.87010123939689e-06,2.08545633896469e-05
0.0245,3.92612212330001e-06,2.11888378540383e-05
0.025,3.98167317641611e-06,2.15203114517558e-05
0.0255,4.0367561883761e-06,2.18489940958402e-05
0.026,4.0913729488109e-06,2.21748956993328e-05
0.0265,4.14552524735141e-06,2.24980261752746e-05
0.027,4.19921487362854e-06,2.28183954367065e-05
0.0275,4.25244361727319e-06,2.31360133966698e-05
0.028,4.3052132679163e-06,2.34508899682055e-05
0.0285,4.35752561518876e-06,2.37630350643547e-05
0.029,4.40938244872148e-06,2.40724585981583e-05
0.0295,4.46078555814538e-06,2.43791704826576e-05
0.03,4.51173673309135e-06,2.46831806308936e-05
0.0305,4.56223776319032e-06,2.49844989559074e-05
0.031,4.61229043807321e-06,2.52831353707399e-05
0.0315,4.6618965473709e-06,2.55790997884324e-05
0.032,4.71105788071431e-06,2.58724021220258e-05
0.0325,4.75977622773437e-06,2.61630522845613e-05
0.033,4.80805337806197e-06,2.64510601890799e-05
0.0335,4.85589112132803e-06,2.67364357486227e-05
0.034,4.90329124716344e-06,2.70191888762308e-05
0.0345,4.95025554519913e-06,2.72993294849452e-05
0.035,4.99678580506601e-06,2.7576867487807e-05
0.0355,5.042883816395e-06,2.78518127978573e-05
0.036,5.08855136881698e-06,2.81241753281372e-05
0.0365,5.13379025196288e-06,2.83939649916877e-05
0.037,5.17860225546361e-06,2.86611917015499e-05
0.0375,5.22298916895007e-06,2.89258653707649e-05
0.038,5.26695278205319e-06,2.91879959123737e-05
0.0385,5.31049488440386e-06,2.94475932394175e-05
0.039,5.353617265633e-06,2.97046672649373e-05
0.0395,5.3963217153715e-06,2.99592279019741e-05
0.04,5.43861002325031e-06,3.02112850635691e-05
0.0405,5.48048397890032e-06,3.04608486627633e-05
0.041,5.52194537195243e-06,3.07079286125978e-05
0.0415,5.56299599203756e-06,3.09525348261136e-05
0.042,5.60363762878663e-06,3.11946772163519e-05
0.0425,5.64387207183052e-06,3.14343656963537e-05
0.043,5.68370111080018e-06,3.16716101791601e-05
0.0435,5.72312653532648e-06,3.19064205778121e-05
0.044,5.76215013504037e-06,3.21388068053509e-05
0.0445,5.80077369957272e-06,3.23687787748175e-05
0.045,5.83899901855447e-06,3.25963463992529e-05
0.0455,5.87682788161653e-06,3.28215195916983e-05
0.046,5.91426207838979e-06,3.30443082651947e-05
0.0465,5.95130339850518e-06,3.32647223327833e-05
0.047,5.98795363159359e-06,3.3482771707505e-05
0.0475,6.02421456728594e-06,3.36984663024009e-05
0.048,6.06008799521315e-06,3.39118160305121e-05
0.0485,6.09557570500613e-06,3.41228308048798e-05
0.049,6.13067948629577e-06,3.43315205385449e-05
0.0495,6.16540112871299e-06,3.45378951445485e-05
0.05,6.19974242188871e-06,3.47419645359318e-05
0.0505,6.23370515545384e-06,3.49437386257357e-05
0.051,6.26729111903927e-06,3.51432273270013e-05
0.0515,6.30050210227592e-06,3.53404405527698e-05
0.052,6.33333989479472e-06,3.55353882160823e-05
0.0525,6.36580628622655e-06,3.57280802299796e-05
0.053,6.39790306620235e-06,3.59185265075031e-05
0.0535,6.429632024353e-06,3.61067369616936e-05
0.054,6.46099495030943e-06,3.62927215055923e-05
0.0545,6.49199363370254e-06,3.64764900522403e-05
0.055,6.52262986416325e-06,3.66580525146786e-05
0.0555,6.55290543132246e-06,3.68374188059484e-05
0.056,6.58282212481109e-06,3.70145988390906e-05
