Time_s,BCL_Envelope_Smoothed,BCC_Envelope_Smoothed
20,-1.20310301626794e-05,2.49886286451229e-05
20.0005,-1.16050372471135e-05,2.55600434746326e-05
20.001,-1.11822276890715e-05,2.61281376946763e-05
20.0015,-1.07625911917193e-05,2.66929188097087e-05
20.002,-1.03461174582226e-05,2.72543943241838e-05
20.0025,-9.93279619174731e-06,2.78125717425561e-05
20.003,-9.52261709545903e-06,2.83674585692797e-05
20.0035,-9.11556987252363e-06,2.8919062308809e-05
20.004,-8.71164422610686e-06,2.94673904655983e-05
20.0045,-8.3108298593745e-06,3.00124505441019e-05
20.005,-7.91311647549234e-06,3.0554250048774e-05
20.0055,-7.51849377762613e-06,3.10927964840689e-05
20.006,-7.12695146894166e-06,3.16280973544409e-05
20.0065,-6.7384792526047e-06,3.21601601643444e-05
20.007,-6.35306683178104e-06,3.26889924182335e-05
20.0075,-5.97070390963643e-06,3.32146016205626e-05
20.008,-5.59138018933666e-06,3.3736995275786e-05
20.0085,-5.21508537404751e-06,3.4256180888358e-05
20.009,-4.84180916693474e-06,3.47721659627328e-05
20.0095,-4.47154127116413e-06,3.52849580033647e-05
20.01,-4.10427138990146e-06,3.57945645147081e-05
20.0105,-3.73998922631251e-06,3.63009930012172e-05
20.011,-3.37868448356304e-06,3.68042509673462e-05
20.0115,-3.02034686481884e-06,3.73043459175496e-05
20.012,-2.66496607324567e-06,3.78012853562815e-05
20.0125,-2.31253181200932e-06,3.82950767879964e-05
20.013,-1.96303378427555e-06,3.87857277171483e-05
20.0135,-1.61646169321015e-06,3.92732456481918e-05
20.014,-1.27280524197889e-06,3.97576380855809e-05
20.0145,-9.32054133747535e-07,4.02389125337701e-05
20.015,-5.9419807168187e-07,4.07170764972136e-05
20.0155,-2.59226758947673e-07,4.11921374803657e-05
20.016,7.28701012892885e-08,4.16641029876806e-05
20.0165,4.02102805863238e-07,4.21329805236128e-05
20.017,7.284816516084e-07,4.25987775926164e-05
20.0175,1.05201693535899e-06,4.30615016991457e-05
20.018,1.37271895394925e-06,4.35211603476552e-05
20.0185,1.6905980042134e-06,4.39777610425989e-05
20.019,2.00566438298565e-06,4.44313112884312e-05
20.0195,2.31792838710025e-06,4.48818185896065e-05
20.02,2.6274003133914e-06,4.53292904505789e-05
20.0205,2.93409045869334e-06,4.57737343758029e-05
20.021,3.23800911984029e-06,4.62151578697326e-05
20.0215,3.53916659366648e-06,4.66535684368223e-05
20.022,3.83757317700612e-06,4.70889735815264e-05
20.0225,4.13323916669346e-06,4.75213808082991e-05
20.023,4.4261748595627e-06,4.79507976215948e-05
20.0235,4.71639055244808e-06,4.83772315258677e-05
20.024,5.00389654218382e-06,4.8800690025572e-05
20.0245,5.28870312560416e-06,4.92211806251622e-05
20.025,5.57082059954329e-06,4.96387108290925e-05
20.0255,5.85025926083546e-06,5.0053288141817e-05
20.026,6.1270294063149e-06,5.04649200677903e-05
20.0265,6.40114133281582e-06,5.08736141114666e-05
20.027,6.67260533717245e-06,5.12793777773e-05
20.0275,6.94143171621901e-06,5.16822185697449e-05
20.028,7.20763076678974e-06,5.20821439932557e-05
20.0285,7.47121278571886e-06,5.24791615522866e-05
20.029,7.73218806984059e-06,5.28732787512918e-05
20.0295,7.99056691598915e-06,5.32645030947257e-05
20.03,8.24635962099876e-06,5.36528420870425e-05
20.0305,8.49957648170366e-06,5.40383032326967e-05
20.031,8.75022779493808e-06,5.44208940361423e-05
20.0315,8.99832385753622e-06,5.48006220018338e-05
20.032,9.24387496633234e-06,5.51774946342255e-05
20.0325,9.48689141816064e-06,5.55515194377715e-05
20.033,9.72738350985535e-06,5.59227039169262e-05
20.0335,9.96536153825069e-06,5.62910555761438e-05
20.034,1.02008358001809e-05,5.66565819198788e-05
20.0345,1.04338165924802e-05,5.70192904525853e-05
20.035,1.06643142119828e-05,5.73791886787176e-05
20.0355,1.08923389555229e-05,5.77362841027301e-05
20.036,1.11179011199348e-05,5.8090584229077e-05
20.0365,1.13410110020527e-05,5.84420965622127e-05
20.037,1.15616788987108e-05,5.87908286065913e-05
20.0375,1.17799151067433e-05,5.91367878666671e-05
20.038,1.19957299229845e-05,5.94799818468946e-05
20.0385,1.22091336442685e-05,5.9820418051728e-05
20.039,1.24201365674297e-05,6.01581039856215e-05
20.0395,1.26287489893022e-05,6.04930471530294e-05
20.04,1.28349812067202e-05,6.08252550584061e-05
20.0405,1.30388435165181e-05,6.11547352062057e-05
20.041,1.324034621553e-05,6.14814951008827e-05
20.0415,1.343949960059e-05,6.18055422468913e-05
20.042,1.36363139685326e-05,6.21268841486858e-05
20.0425,1.38307996161918e-05,6.24455283107205e-05
20.043,1.4022966840402e-05,6.27614822374495e-05
20.0435,1.42128259379973e-05,6.30747534333274e-05
20.044,1.44003872058119e-05,6.33853494028082e-05
20.0445,1.45856609406801e-05,6.36932776503464e-05
20.045,1.47686574394362e-05,6.39985456803962e-05
20.0455,1.49493869989142e-05,6.43011609974119e-05
20.046,1.51278599159485e-05,6.46011311058478e-05
20.0465,1.53040864873734e-05,6.48984635101582e-05
20.047,1.54780770100229e-05,6.51931657147973e-05
20.0475,1.56498417807313e-05,6.54852452242195e-05
20.048,1.5819391096333e-05,6.57747095428791e-05
20.0485,1.59867352536619e-05,6.60615661752303e-05
20.049,1.61518845495525e-05,6.63458226257273e-05
20.0495,1.6314849280839e-05,6.66274863988246e-05
20.05,1.64756397443555e-05,6.69065649989765e-05
20.0505,1.66342662369363e-05,6.71830659306371e-05
20.051,1.67907390554155e-05,6.74569966982607e-05
20.0515,1.69450684966276e-05,6.77283648063017e-05
20.052,1.70972648574065e-05,6.79971777592144e-05
20.0525,1.72473384345867e-05,6.8263443061453e-05
20.053,1.73952995250023e-05,6.85271682174718e-05
20.0535,1.75411584254875e-05,6.87883607317252e-05
20.054,1.76849254328765e-05,6.90470281086674e-05
20.0545,1.78266108440037e-05,6.93031778527526e-05
20.055,1.79662249557031e-05,6.95568174684352e-05
20.0555,1.81037780648091e-05,6.98079544601696e-05
20.056,1.82392804681559e-05,7.00565963324098e-05
20.0565,1.83727424625776e-05,7.03027505896103e-05
20.057,1.85041743449085e-05,7.05464247362253e-05
20.0575,1.86335864119829e-05,7.07876262767092e-05
20.058,1.87609889606349e-05,7.10263627155161e-05
20.0585,1.88863922876988e-05,7.12626415571005e-05
20.059,1.90098066900088e-05,7.14964703059167e-05
20.0595,1.91312424643991e-05,7.17278564664186e-05
20.06,1.9250709907704e-05,7.19568075430609e-05
20.0605,1.93682193167577e-05,7.21833310402977e-05
20.061,1.94837809883944e-05,7.24074344625834e-05
20.0615,1.95974052194483e-05,7.26291253143722e-05
20.062,1.97091023067537e-05,7.28484111001185e-05
20.0625,1.98188825471448e-05,7.30652993242765e-05
20.063,1.99267562374558e-05,7.32797974913003e-05
20.0635,2.00327336745209e-05,7.34919131056447e-05
20.064,2.01368251551743e-05,7.37016536717634e-05
20.0645,2.02390409762504e-05,7.3909026694111e-05
20.065,2.03393914345832e-05,7.41140396771418e-05
20.0655,2.04378868270071e-05,7.431670012531e-05
20.066,2.05345374503562e-05,7.45170155430701e-05
20.0665,2.06293536014648e-05,7.4714993434876e-05
20.067,2.07223455771672e-05,7.49106413051823e-05
20.0675,2.08135236742974e-05,7.51039666584432e-05
20.068,2.09028981896898e-05,7.52949769991129e-05
20.0685,2.09904794201787e-05,7.54836798316458e-05
20.069,2.1076277662598e-05,7.56700826604961e-05
20.0695,2.11603032137823e-05,7.58541929901182e-05
20.07,2.12425663705656e-05,7.60360183249664e-05
20.0705,2.13230774297821e-05,7.62155661694949e-05
20.071,2.14018466882662e-05,7.63928440281579e-05
20.0715,2.1478884442852e-05,7.65678594054099e-05
20.072,2.15542009903738e-05,7.67406198057051e-05
20.0725,2.16278066276657e-05,7.69111327334977e-05
20.073,2.16997116515621e-05,7.7079405693242e-05
20.0735,2.17699263588971e-05,7.72454461893925e-05
20.074,2.18384610465049e-05,7.74092617264032e-05
20.0745,2.19053260112199e-05,7.75708598087287e-05
20.075,2.19705315498761e-05,7.7730247940823e-05
20.0755,2.20340879593078e-05,7.78874336271406e-05
20.076,2.20960055363494e-05,7.80424243721356e-05
20.0765,2.21562945778348e-05,7.81952276802624e-05
20.077,2.22149653805985e-05,7.83458510559751e-05
20.0775,2.22720282414747e-05,7.84943020037285e-05
20.078,2.23274934572974e-05,7.86405880279763e-05
20.0785,2.23813713249011e-05,7.87847166331731e-05
20.079,2.24336721411199e-05,7.89266953237732e-05
20.0795,2.2484406202788e-05,7.90665316042307e-05
20.08,2.25335838067397e-05,7.92042329790001e-05
20.0805,2.25812152498091e-05,7.93398069525354e-05
20.081,2.26273108288306e-05,7.94732610292912e-05
20.0815,2.26718808406382e-05,7.96046027137218e-05
20.082,2.27149355820664e-05,7.97338395102812e-05
20.0825,2.27564853499492e-05,7.98609789234238e-05
20.083,2.27965404411209e-05,7.9986028457604e-05
20.0835,2.28351111524157e-05,8.01089956172761e-05
20.084,2.2872207780668e-05,8.02298879068942e-05
20.0845,2.29078406227117e-05,8.03487128309126e-05
20.085,2.29420199753813e-05,8.0465477893786e-05
20.0855,2.29747561355109e-05,8.05801905999681e-05
20.086,2.30060593999348e-05,8.06928584539135e-05
20.0865,2.30359400654872e-05,8.08034889600766e-05
20.087,2.30644084290022e-05,8.09120896229114e-05
20.0875,2.30914747873142e-05,8.10186679468723e-05
20.088,2.31171494372574e-05,8.11232314364136e-05
20.0885,2.31414426756659e-05,8.12257875959896e-05
20.089,2.3164364799374e-05,8.13263439300547e-05
20.0895,2.3185926105216e-05,8.14249079430631e-05
20.09,2.3206136890026e-05,8.15214871394689e-05
20.0905,2.32250074506383e-05,8.16160890237267e-05
20.091,2.32425480838871e-05,8.17087211002906e-05
20.0915,2.32587690866066e-05,8.17993908736149e-05
20.092,2.32736807556311e-05,8.1888105848154e-05
20.0925,2.32872933877948e-05,8.1974873528362e-05
20.093,2.32996172799318e-05,8.20597014186934e-05
20.0935,2.33106627288765e-05,8.21425970236023e-05
20.094,2.3320440031463e-05,8.22235678475432e-05
20.0945,2.33289594845257e-05,8.23026213949702e-05
20.095,2.33362313848986e-05,8.23797651703375e-05
20.0955,2.33422660294161e-05,8.24550066780997e-05
20.096,2.33470737149123e-05,8.25283534227109e-05
20.0965,2.33506647382215e-05,8.25998129086255e-05
20.097,2.33530493961778e-05,8.26693926402974e-05
20.0975,2.33542379856157e-05,8.27371001221816e-05
20.098,2.33542408033691e-05,8.28029428587318e-05
20.0985,2.33530681462725e-05,8.28669283544024e-05
20.099,2.335073031116e-05,8.29290641136478e-05
20.0995,2.33472375948658e-05,8.29893576409223e-05
20.1,2.33426002942241e-05,8.30478164406801e-05
20.1005,2.33368287060692e-05,8.31044480173756e-05
20.101,2.33299331272354e-05,8.3159259875463e-05
20.1015,2.33219238545567e-05,8.32122595193965e-05
20.102,2.33128111848675e-05,8.32634544536305e-05
20.1025,2.3302605415002e-05,8.33128521826192e-05
20.103,2.32913168417944e-05,8.33604602108171e-05
20.1035,2.32789557620789e-05,8.34062860426784e-05
20.104,2.32655324726898e-05,8.34503371826572e-05
20.1045,2.32510572704612e-05,8.3492621135208e-05
20.105,2.32355404522274e-05,8.35331454047851e-05
20.1055,2.32189923148228e-05,8.35719174958425e-05
20.106,2.32014231550813e-05,8.36089449128349e-05
20.1065,2.31828432698373e-05,8.36442351602162e-05
20.107,2.3163262955925e-05,8.36777957424411e-05
20.1075,2.31426925101786e-05,8.37096341639635e-05
20.108,2.31211422294324e-05,8.3739757929238e-05
20.1085,2.30986224105206e-05,8.37681745427184e-05
20.109,2.30751433502774e-05,8.37948915088597e-05
20.1095,2.3050715345537e-05,8.38199163321156e-05
20.11,2.30253486931336e-05,8.38432565169406e-05
20.1105,2.29990536899016e-05,8.38649195677892e-05
20.111,2.2971840632675e-05,8.38849129891152e-05
20.1115,2.29437198182882e-05,8.39032442853733e-05
20.112,2.29147015435753e-05,8.39199209610177e-05
20.1125,2.28847961053706e-05,8.39349505205026e-05
20.113,2.28540138005083e-05,8.39483404682823e-05
20.1135,2.28223649258226e-05,8.39600983088113e-05
20.114,2.27898597781478e-05,8.39702315465434e-05
20.1145,2.2756508654318e-05,8.39787476859335e-05
20.115,2.27223218511676e-05,8.39856542314354e-05
20.1155,2.26873096655307e-05,8.39909586875037e-05
20.116,2.26514823942415e-05,8.39946685585924e-05
20.1165,2.26148503341343e-05,8.39967913491562e-05
20.117,2.25774237820433e-05,8.39973345636488e-05
20.1175,2.25392130348027e-05,8.39963057065251e-05
20.118,2.25002283892468e-05,8.3993712282239e-05
20.1185,2.24604801422098e-05,8.39895617952449e-05
20.119,2.24199785905258e-05,8.39838617499972e-05
20.1195,2.23787340310293e-05,8.397661965095e-05
20.12,2.23367567605542e-05,8.39678430025578e-05
20.1205,2.22940570759349e-05,8.39575393092746e-05
20.121,2.22506452740056e-05,8.39457160755548e-05
20.1215,2.22065316516006e-05,8.39323808058528e-05
20.122,2.2161726505554e-05,8.39175410046228e-05
20.1225,2.21162401327001e-05,8.39012041763192e-05
20.123,2.20700828298731e-05,8.38833778253962e-05
20.1235,2.20232648939072e-05,8.3864069456308e-05
20.124,2.19757966216367e-05,8.38432865735091e-05
20.1245,2.19276883098957e-05,8.38210366814536e-05
20.125,2.18789502555185e-05,8.37973272845958e-05
20.1255,2.18382900578692e-05,8.37758311172533e-05
20.126,2.17970019468131e-05,8.37524152881805e-05
20.1265,2.17551003707759e-05,8.37270916529445e-05
20.127,2.17125997383118e-05,8.36998722302881e-05
20.1275,2.16695144158425e-05,8.3670769200066e-05
