Time_s,BCL_Filtered,BCC_Filtered
0,1.01428448636229e-06,2.24772962786514e-07
0.0005,2.20859218149448e-06,-6.1337875616464e-06
0.001,3.97672643560741e-06,-1.19973024380308e-05
0.0015,5.68026324894835e-06,-1.73071858945989e-05
0.002,6.20283660914142e-06,-2.17296962709702e-05
0.0025,5.47504182130804e-06,-2.35332474109043e-05
0.003,4.52370619392677e-06,-2.00701241744388e-05
0.0035,4.21816856331311e-06,-1.03381292382462e-05
0.004,4.60927669227402e-06,3.0966445818378e-06
0.0045,5.35848326122972e-06,1.56758834862338e-05
0.005,6.12889323170512e-06,2.46182749451599e-05
0.0055,6.50502670085862e-06,3.05729037757123e-05
0.006,6.18477364284409e-06,3.56776718891035e-05
0.0065,5.54812881940169e-06,4.1059985639791e-05
0.007,5.57284989047095e-06,4.628123840429e-05
0.0075,6.74765197771519e-06,4.97946605384277e-05
0.008,8.2759411033999e-06,4.94999982532745e-05
0.0085,8.75389300329639e-06,4.42068255219203e-05
0.009,7.5563244227527e-06,3.53062489291597e-05
0.0095,5.26644472262428e-06,2.62076459095666e-05
0.01,2.90342728509615e-06,1.9648980436208e-05
0.0105,1.12988381674717e-06,1.60088482871529e-05
0.011,1.52112765963014e-07,1.42885641078311e-05
0.0115,-1.01254681274365e-07,1.40098918149423e-05
0.012,4.94478362028587e-08,1.55506363775381e-05
0.0125,1.25390311092294e-07,1.87330790595709e-05
0.013,-2.31652765207054e-07,2.18628630257478e-05
0.0135,-1.17711831764858e-06,2.29285323044051e-05
0.014,-2.844028141041e-06,2.15833270246978e-05
0.0145,-5.22410998889276e-06,1.91430708465187e-05
0.015,-7.72143995095271e-06,1.66872114962797e-05
0.0155,-9.25729046022119e-06,1.42938751510758e-05
0.016,-9.18179246085458e-06,1.25154554064288e-05
0.0165,-7.87332104475017e-06,1.32359189269941e-05
0.017,-6.21023832757577e-06,1.76428494607911e-05
0.0175,-4.74817328977806e-06,2.35776764296861e-05
0.018,-3.71429669397155e-06,2.60871362659027e-05
0.0185,-3.45948917443025e-06,2.12738886276076e-05
0.019,-4.29702936281302e-06,9.47356479592091e-06
0.0195,-5.80579243292427e-06,-5.65490062993435e-06
0.02,-6.80232532723398e-06,-2.08833036381857e-05
0.0205,-6.44043544053712e-06,-3.55461634070904e-05
0.021,-5.1716418760096e-06,-5.00525816403353e-05
0.0215,-4.1574773038903e-06,-6.35441346710002e-05
0.022,-3.74652293362294e-06,-7.38854085220967e-05
0.0225,-3.09188214571729e-06,-7.95710834504591e-05
0.023,-1.57289451588443e-06,-8.12216255745536e-05
0.0235,-1.14977484297806e-07,-8.14552527605964e-05
0.024,-3.51464646163009e-07,-8.31447479792372e-05
0.0245,-2.39105887192132e-06,-8.69798708639414e-05
0.025,-4.20069151788247e-06,-9.0513834961725e-05
0.0255,-3.83879226357026e-06,-9.00491866000167e-05
0.026,-1.76235831135157e-06,-8.32468921613273e-05
0.0265,2.52737055188881e-08,-6.94555606986233e-05
0.027,7.72286581444022e-07,-4.87445735706485e-05
0.0275,1.59281431488186e-06,-2.27379326015217e-05
0.028,3.11489092639689e-06,3.82580701931509e-06
0.0285,3.96754769613421e-06,2.50130054363522e-05
0.029,2.59551856316652e-06,3.86426006736959e-05
0.0295,-2.24440607053248e-07,4.82192533228324e-05
0.03,-1.80278817617102e-06,5.88126825141747e-05
0.0305,-2.54471325698676e-07,7.1525681761749e-05
0.031,3.8942805580932e-06,8.26379027432763e-05
0.0315,8.44322794141206e-06,8.75233093749554e-05
0.032,1.10752798219667e-05,8.45196478837489e-05
0.0325,1.05178397530527e-05,7.534887789914e-05
0.033,7.24837108477044e-06,6.32157957836415e-05
0.0335,3.31464990380514e-06,5.13386165897052e-05
0.034,7.73512708953884e-07,4.2222870625694e-05
0.0345,3.31114326097565e-08,3.64815065830936e-05
0.035,2.21375661438715e-07,3.22302166519281e-05
0.0355,1.2034338276429e-06,2.70152854744607e-05
0.036,4.30214021291108e-06,2.05459506074489e-05
0.0365,1.04353433332293e-05,1.44275621259564e-05
0.037,1.82004456536735e-05,9.36706878976803e-06
0.0375,2.46083260267408e-05,4.25838748058991e-06
0.038,2.7354586980093e-05,-1.68608746884443e-06
0.0385,2.57457941868724e-05,-7.47827629317224e-06
0.039,2.01825936826306e-05,-1.17404897172567e-05
0.0395,1.21348329295506e-05,-1.45717675002105e-05
0.04,4.34377397944353e-06,-1.74871700784504e-05
0.0405,-6.59970957539399e-07,-2.19138177230623e-05
0.041,-2.80833653274279e-06,-2.76820967219053e-05
0.0415,-4.18550732760094e-06,-3.27386316274456e-05
0.042,-6.02941645198812e-06,-3.49835980772251e-05
0.0425,-7.2870842086176e-06,-3.48760628288234e-05
0.043,-6.99944379709849e-06,-3.54806328326131e-05
0.0435,-6.81398067441654e-06,-3.93138004809675e-05
0.044,-9.38091606956294e-06,-4.56430256186369e-05
0.0445,-1.4687815856706e-05,-5.12365062466784e-05
0.045,-1.97635891576319e-05,-5.30874050376059e-05
0.0455,-2.21289783639147e-05,-4.98730892302146e-05
0.046,-2.19592859228477e-05,-4.15721030677522e-05
0.0465,-2.05560861805584e-05,-2.9217703746706e-05
0.047,-1.83397343455523e-05,-1.5438106586628e-05
0.0475,-1.5168786308744e-05,-3.65800541632566e-06
0.048,-1.14724061579683e-05,4.94694559303229e-06
0.0485,-8.0461376851425e-06,1.31961514191308e-05
0.049,-5.23273878792756e-06,2.47790661768732e-05
0.0495,-3.086440184346e-06,3.92437176305021e-05
0.05,-2.09802664542548e-06,5.18295997422659e-05
0.0505,-2.92202053367655e-06,5.87685512344405e-05
0.051,-5.14743369487161e-06,6.09906536797603e-05
0.0515,-6.93765103810873e-06,6.17097144287012e-05
0.052,-6.41993185127757e-06,6.2192463247287e-05
0.0525,-3.33460049199611e-06,6.14866076912017e-05
0.053,8.76648338321029e-07,5.88148929325441e-05
0.0535,4.47294998671853e-06,5.40755546635537e-05
0.054,6.81904848273214e-06,4.67412672513699e-05
0.0545,8.59205046925762e-06,3.63268910925637e-05
0.055,1.07355109067603e-05,2.35883940954982e-05
0.0555,1.31819653242288e-05,9.62288134948548e-06
0.056,1.46960693849199e-05,-5.69273048944579e-06
0.0565,1.41008583763439e-05,-2.28278300218381e-05
0.057,1.14149074401692e-05,-4.06789354022933e-05
0.0575,7.5383694550573e-06,-5.67687790290436e-05
0.058,3.29313577191121e-06,-6.88480109885636e-05
0.0585,-6.58232666451861e-07,-7.56180606284833e-05
0.059,-3.43231964310517e-06,-7.68960754697853e-05
0.0595,-4.45784777980265e-06,-7.39031111697817e-05
0.06,-4.45312439474213e-06,-6.85410797000328e-05
0.0605,-5.06836210116235e-06,-6.17777281395086e-05
0.061,-7.08705514508825e-06,-5.33927263704239e-05
0.0615,-9.26550088520392e-06,-4.33219419712612e-05
0.062,-9.40424800400185e-06,-3.21881038924675e-05
0.0625,-6.68437047845568e-06,-2.04757593324155e-05
0.063,-2.67674970392053e-06,-8.29654933293407e-06
0.0635,2.55080294581601e-07,3.95634209597709e-06
0.064,1.27723994295083e-06,1.55969773502331e-05
0.0645,1.26629362150627e-06,2.6199500557888e-05
0.065,1.07950164846085e-06,3.5556282350025e-05
0.0655,7.78121128013824e-07,4.33031517494979e-05
0.066,5.19008783623168e-07,4.87934526036612e-05
0.0665,8.7103773103721e-07,5.11011884723807e-05
0.067,1.86839269291275e-06,4.9745181010112e-05
0.0675,2.88462218135603e-06,4.63315165242371e-05
0.068,3.84352224703905e-06,4.47613850820965e-05
0.0685,5.41736793993108e-06,4.8148877669694e-05
0.069,7.57255174020479e-06,5.52288860792055e-05
0.0695,9.06899300111168e-06,6.07806489761936e-05
0.07,8.98519878005999e-06,6.01007938743638e-05
0.0705,7.8564947255199e-06,5.29604628249089e-05
0.071,6.87771909411308e-06,4.34619709028298e-05
0.0715,6.70948574073314e-06,3.64138775284506e-05
0.072,7.35425940233548e-06,3.34105855211663e-05
0.0725,8.51351265539109e-06,3.15520522415936e-05
0.073,9.65806170325958e-06,2.56542899571801e-05
0.0735,1.01614674679409e-05,1.21854322097063e-05
0.074,9.74321149883165e-06,-8.08604035700362e-06
0.0745,8.63083257082834e-06,-3.06471284618237e-05
0.075,7.17293657089164e-06,-5.04381508360897e-05
0.0755,5.5676626377052e-06,-6.50254723546545e-05
0.076,4.06991791244977e-06,-7.51515793035999e-05
0.0765,3.02008177211835e-06,-8.27187924010316e-05
